Gene,Expt,x,y
3110035E14Rik,1,18855,15338
3110035E14Rik,1,18856,15260
3110035E14Rik,1,18857,15282
3110035E14Rik,1,18857,15431
3110035E14Rik,1,18865,15434
3110035E14Rik,1,18871,15298
3110035E14Rik,1,18871,15441
3110035E14Rik,1,18883,15356
3110035E14Rik,1,18884,15342
3110035E14Rik,1,18888,15177
3110035E14Rik,1,18890,15303
3110035E14Rik,1,18895,15447
3110035E14Rik,1,18899,15476
3110035E14Rik,1,18901,15456
3110035E14Rik,1,18904,14903
3110035E14Rik,1,18906,15669
3110035E14Rik,1,18912,16055
3110035E14Rik,1,18919,15549
3110035E14Rik,1,18920,15415
3110035E14Rik,1,18924,16448
3110035E14Rik,1,18927,15477
3110035E14Rik,1,18928,15297
3110035E14Rik,1,18931,15335
3110035E14Rik,1,18931,15542
3110035E14Rik,1,18932,16469
3110035E14Rik,1,18935,15495
3110035E14Rik,1,18945,15460
3110035E14Rik,1,18947,14873
3110035E14Rik,1,18950,15231
3110035E14Rik,1,18952,15739
3110035E14Rik,1,18953,15469
3110035E14Rik,1,18959,15587
3110035E14Rik,1,18965,15386
3110035E14Rik,1,18966,15479
3110035E14Rik,1,18975,15441
3110035E14Rik,1,18975,15486
3110035E14Rik,1,18982,15377
3110035E14Rik,1,18987,16569
3110035E14Rik,1,18989,15300
3110035E14Rik,1,18991,15399
3110035E14Rik,1,18997,15240
3110035E14Rik,1,18998,15041
3110035E14Rik,1,19004,15540
3110035E14Rik,1,19007,14998
3110035E14Rik,1,19007,15357
3110035E14Rik,1,19008,15601
3110035E14Rik,1,19017,15434
3110035E14Rik,1,19018,15550
3110035E14Rik,1,19023,15430
3110035E14Rik,1,19031,15246
3110035E14Rik,1,19031,15397
3110035E14Rik,1,19037,15451
3110035E14Rik,1,19037,16074
3110035E14Rik,1,19038,15438
3110035E14Rik,1,19040,15455
3110035E14Rik,1,19040,15564
3110035E14Rik,1,19046,15439
3110035E14Rik,1,19048,15519
3110035E14Rik,1,19051,15416
3110035E14Rik,1,19053,15218
3110035E14Rik,1,19054,15447
3110035E14Rik,1,19055,15509
3110035E14Rik,1,19058,15756
3110035E14Rik,1,19063,15549
3110035E14Rik,1,19064,15386
3110035E14Rik,1,19064,15765
3110035E14Rik,1,19069,15590
3110035E14Rik,1,19072,16250
3110035E14Rik,1,19077,15398
3110035E14Rik,1,19078,16618
3110035E14Rik,1,19080,15482
3110035E14Rik,1,19081,15549
3110035E14Rik,1,19083,15453
