Gene,Expt,x,y
3110035E14Rik,1,19720,14033
3110035E14Rik,1,19986,13839
3110035E14Rik,1,19996,14029
3110035E14Rik,1,20017,14066
3110035E14Rik,1,20103,13614
3110035E14Rik,1,20142,14246
3110035E14Rik,1,20153,14071
3110035E14Rik,1,20207,14468
3110035E14Rik,1,20305,13979
3110035E14Rik,1,20308,14176
3110035E14Rik,1,20310,13809
3110035E14Rik,1,20311,13810
3110035E14Rik,1,20344,13514
3110035E14Rik,1,20353,14430
3110035E14Rik,1,20361,13271
3110035E14Rik,1,20370,13390
3110035E14Rik,1,19720,16282
3110035E14Rik,1,19725,16080
3110035E14Rik,1,19729,16719
3110035E14Rik,1,19735,16396
3110035E14Rik,1,19743,16552
3110035E14Rik,1,19751,16585
3110035E14Rik,1,19772,16547
3110035E14Rik,1,19782,16427
3110035E14Rik,1,19786,16478
3110035E14Rik,1,19795,16439
3110035E14Rik,1,19817,16675
3110035E14Rik,1,19819,16509
3110035E14Rik,1,19841,16587
3110035E14Rik,1,19848,16550
3110035E14Rik,1,19852,16611
3110035E14Rik,1,19855,16312
3110035E14Rik,1,19866,16527
3110035E14Rik,1,19881,16472
3110035E14Rik,1,19884,16582
3110035E14Rik,1,19890,16632
3110035E14Rik,1,19896,16424
3110035E14Rik,1,19898,16336
3110035E14Rik,1,19904,15583
3110035E14Rik,1,19908,16286
3110035E14Rik,1,19923,15546
3110035E14Rik,1,19928,15577
3110035E14Rik,1,19933,16647
3110035E14Rik,1,19937,16638
3110035E14Rik,1,19946,16645
3110035E14Rik,1,19951,16443
3110035E14Rik,1,19958,16682
3110035E14Rik,1,19967,16599
3110035E14Rik,1,19969,16649
3110035E14Rik,1,19982,16678
3110035E14Rik,1,20002,15701
3110035E14Rik,1,20004,16382
3110035E14Rik,1,20013,16588
3110035E14Rik,1,20033,16537
3110035E14Rik,1,20052,16571
3110035E14Rik,1,20067,15774
3110035E14Rik,1,20093,16319
3110035E14Rik,1,20100,16583
3110035E14Rik,1,20116,15426
3110035E14Rik,1,20154,16586
3110035E14Rik,1,20158,15201
3110035E14Rik,1,20163,16490
3110035E14Rik,1,20169,16550
3110035E14Rik,1,20194,15002
3110035E14Rik,1,20200,15155
3110035E14Rik,1,20210,16480
3110035E14Rik,1,20226,15208
3110035E14Rik,1,20237,14956
3110035E14Rik,1,20265,15309
3110035E14Rik,1,20275,14930
3110035E14Rik,1,20275,15315
3110035E14Rik,1,20277,15776
3110035E14Rik,1,20324,16506
3110035E14Rik,1,20349,15497
3110035E14Rik,1,20352,15103
3110035E14Rik,1,20354,15979
3110035E14Rik,1,20357,16376
3110035E14Rik,1,20358,15988
3110035E14Rik,1,20360,15341
3110035E14Rik,1,20366,15598
3110035E14Rik,1,20367,15597
3110035E14Rik,1,19741,16794
3110035E14Rik,1,19837,16786
3110035E14Rik,1,19863,16745
3110035E14Rik,1,19884,16743
3110035E14Rik,1,20156,17880
3110035E14Rik,1,20286,17745
3110035E14Rik,1,20305,17765
3110035E14Rik,1,20308,17927
3110035E14Rik,1,20313,17877
3110035E14Rik,1,20338,17794
3110035E14Rik,1,20464,14365
3110035E14Rik,1,20465,14820
3110035E14Rik,1,20576,14890
3110035E14Rik,1,20675,13954
3110035E14Rik,1,20708,14064
3110035E14Rik,1,20753,14877
3110035E14Rik,1,20781,13434
3110035E14Rik,1,20786,13960
3110035E14Rik,1,20788,14310
3110035E14Rik,1,20826,14232
3110035E14Rik,1,20872,13941
3110035E14Rik,1,20928,13282
3110035E14Rik,1,20931,14810
3110035E14Rik,1,20951,14013
3110035E14Rik,1,20976,14915
3110035E14Rik,1,20990,14878
3110035E14Rik,1,21008,14214
3110035E14Rik,1,21013,14218
3110035E14Rik,1,21028,13987
3110035E14Rik,1,21061,14246
3110035E14Rik,1,21065,14868
3110035E14Rik,1,21085,14914
3110035E14Rik,1,21101,13572
3110035E14Rik,1,21120,13349
3110035E14Rik,1,21127,14765
3110035E14Rik,1,21169,14806
3110035E14Rik,1,21204,14789
3110035E14Rik,1,21243,14786
3110035E14Rik,1,21253,14773
3110035E14Rik,1,21258,14414
3110035E14Rik,1,21276,13680
3110035E14Rik,1,21280,14165
3110035E14Rik,1,21291,14774
3110035E14Rik,1,21301,14802
3110035E14Rik,1,21307,14772
3110035E14Rik,1,21335,14082
3110035E14Rik,1,21337,13501
3110035E14Rik,1,21345,14085
3110035E14Rik,1,21371,14802
3110035E14Rik,1,21377,13757
3110035E14Rik,1,21388,13737
3110035E14Rik,1,21389,14673
3110035E14Rik,1,21441,14676
3110035E14Rik,1,21470,14698
3110035E14Rik,1,21475,14047
3110035E14Rik,1,21483,14181
3110035E14Rik,1,21491,14035
3110035E14Rik,1,21497,14624
3110035E14Rik,1,21564,14794
3110035E14Rik,1,21565,14555
3110035E14Rik,1,21580,14622
3110035E14Rik,1,21580,14683
3110035E14Rik,1,21623,14626
3110035E14Rik,1,21624,14615
3110035E14Rik,1,21646,14686
3110035E14Rik,1,21647,14880
3110035E14Rik,1,21677,14569
3110035E14Rik,1,21701,14028
3110035E14Rik,1,21753,14099
3110035E14Rik,1,21787,13413
3110035E14Rik,1,21801,14131
3110035E14Rik,1,21802,14137
3110035E14Rik,1,21836,14608
3110035E14Rik,1,21838,13422
3110035E14Rik,1,21846,14469
3110035E14Rik,1,21854,13904
3110035E14Rik,1,21862,14508
3110035E14Rik,1,21870,13512
3110035E14Rik,1,21884,13518
3110035E14Rik,1,21886,13680
3110035E14Rik,1,21898,14406
3110035E14Rik,1,21910,14655
3110035E14Rik,1,22015,14588
3110035E14Rik,1,22019,13608
3110035E14Rik,1,22026,14344
3110035E14Rik,1,22031,14269
3110035E14Rik,1,22049,14631
3110035E14Rik,1,22056,14266
3110035E14Rik,1,22057,14284
3110035E14Rik,1,22058,14303
3110035E14Rik,1,22088,14254
3110035E14Rik,1,22106,14449
3110035E14Rik,1,22113,14289
3110035E14Rik,1,22122,14764
