model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Ndnf.Cxcl14,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Choroid,Endo,Eryth.2,Microglia.1,Oligo.1,Oligo.2,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,Pvalb.Tac1.Nr4a2,Sst.Erbb4.Crh,Sst.Erbb4.Th,Vsmc,Zero
Astro.1,0.0023427525296460003,0.004172472162481,0.0,0.001064873482939,0.0044464002070440005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001228883986873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001077498648952,0.9852912427204131
Astro.1,0.0,0.0,0.0,0.0,0.001184950167028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032892992044440002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001903655640128,0.9913505462431911
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001658252710087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015110989232820001,0.9944405576284481
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013583401448140002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001117308293884,0.995753288816514
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001241636845711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001078496046099,0.9961595876137731
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001554684377007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012876316745040002,0.995213991043089
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014366348588720002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001284204212816,0.9953915154961441
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029649682217230003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002003345844782,0.9930107098480121
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013276852216510002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022490575351360002,0.993747553489816
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013530467572430002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001194478261311,0.9957246086269351
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001530051525218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013397203234930002,0.9950390441551161
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001470680790426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001196022862359,0.995558219574428
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014412345197140001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001594059524998,0.9949367312660201
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001481851790917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012030331204580002,0.995173120963963
Astro.1,0.0,0.0,0.0,0.0,0.0018681444550240002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014533112295590002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013297527302040001,0.9937368868633171
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015598451276790002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012298515746270002,0.9954338968452621
Astro.1,0.0,0.001390252019986,0.0,0.0,0.0011815926441170002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002610282308628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013746361525520002,0.991970684885877
