Gene,Expt,y,x,neighbour
3110035E14Rik,1,13888.5481838761,6206.31595044858,20
3110035E14Rik,1,13338.7312227284,6265.88044500794,43
3110035E14Rik,1,14589.737364174,6278.22578721514,52
3110035E14Rik,1,13169.5990311417,6292.9435986899,54
3110035E14Rik,1,13057.4713065608,6313.20146524324,73
3110035E14Rik,1,14542.6163026451,6387.62116025399,110
3110035E14Rik,1,14688.433409209,6601.07770279707,177
3110035E14Rik,1,13772.7948872722,6650.76100564712,195
3110035E14Rik,1,13804.839713018,6661.82258573175,195
3110035E14Rik,1,14117.9049653322,6801.08622232713,237
3110035E14Rik,1,13795.7851302245,6824.52865303806,242
3110035E14Rik,1,14238.6534123016,6913.08665652355,278
3110035E14Rik,1,13761.9628711402,6956.6337837264,311
3110035E14Rik,1,13771.9916404696,6965.85933945783,315
3110035E14Rik,1,14416.2367966001,6974.15872152634,345
3110035E14Rik,1,13671.3483317502,7002.06987266792,375
3110035E14Rik,1,14178.1628944704,7021.88580119139,3482
3110035E14Rik,1,15026.2798517078,7017.19882533585,378
3110035E14Rik,1,13999.5630553462,7043.19502673428,406
3110035E14Rik,1,14269.08283063,7032.76761912064,407
3110035E14Rik,1,14177.9335442422,7048.30537791224,420
3110035E14Rik,1,13706.2827296136,7082.24998716269,462
3110035E14Rik,1,13799.8153117176,7100.63563678591,468
3110035E14Rik,1,15062.1635780964,7129.79959113453,491
3110035E14Rik,1,15252.7881456671,7155.004064091,505
3110035E14Rik,1,15296.9367115616,7190.89874296943,534
3110035E14Rik,1,15282.8649647549,7195.88830562105,534
3110035E14Rik,1,13807.763831451,7195.50439568,535
3110035E14Rik,1,14944.7491042448,7209.09300669429,550
3110035E14Rik,1,14910.8179870318,7253.48171070236,568
3110035E14Rik,1,15049.5594805276,7248.95268088484,575
3110035E14Rik,1,15376.3812484286,7348.80318601755,632
3110035E14Rik,1,15772.3775741852,7365.47648010178,652
3110035E14Rik,1,15663.7796200863,7477.68454654173,734
3110035E14Rik,1,15698.0337896439,7527.56827505278,747
3110035E14Rik,1,15867.0605258759,7599.4807858821,812
3110035E14Rik,1,15927.6213031999,7612.53681828263,819
3110035E14Rik,1,16119.3692562248,7610.31262583008,820
3110035E14Rik,1,16145.5049199092,7644.83895296891,839
3110035E14Rik,1,16067.0642566524,7741.61174126595,889
3110035E14Rik,1,14791.261328397,7908.87837619983,979
3110035E14Rik,1,16467.6892302168,7922.48658603208,986
3110035E14Rik,1,16573.5991978672,8030.07644625219,1040
3110035E14Rik,1,15197.3092105939,8198.69413468589,1138
3110035E14Rik,1,16939.6909455254,8281.92835708418,1179
3110035E14Rik,1,15837.9222355266,8306.05992829188,1183
3110035E14Rik,1,16834.771032845,8418.95741728253,1239
3110035E14Rik,1,16991.2141259603,8563.20242333873,1300
3110035E14Rik,1,17037.984215225,8558.35155824789,1305
3110035E14Rik,1,15301.5413446092,8602.35170098519,1328
3110035E14Rik,1,16943.3013367853,8682.46071688618,1373
3110035E14Rik,1,17431.0840322724,8761.43960960055,1416
3110035E14Rik,1,17260.8665673763,8788.27372906232,1424
3110035E14Rik,1,17325.0268135821,8791.63642359002,1438
3110035E14Rik,1,17320.4900251479,8790.13085274618,1438
3110035E14Rik,1,17225.7798997884,8830.21452779247,1445
3110035E14Rik,1,17150.3182887781,8878.43462933775,3482
3110035E14Rik,1,16016.3515000257,8904.18611907386,1497
3110035E14Rik,1,17259.9807515904,8944.8026370354,1515
3110035E14Rik,1,17350.4395286253,8983.21287398569,1528
3110035E14Rik,1,17337.2376545145,9026.38867061053,1554
3110035E14Rik,1,17414.1011875297,9021.04529674411,1555
3110035E14Rik,1,17321.3540818466,9036.52703502849,1558
3110035E14Rik,1,16235.2785301571,9137.81199055162,1610
3110035E14Rik,1,17039.9375649168,9151.47268834743,1613
3110035E14Rik,1,15615.8521095103,9155.83513498523,1615
