model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Calb2.Vip.Nos1,Cck.Calca,Cck.Cxcl14.Calb1.Tac2,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Vip,Cck.Lmo1.Npy,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Fam19a2,Cck.Lmo1.Vip.Tac2,Cck.Lypd1,Cck.Sema5a,Endo,Eryth.1,Eryth.2,Microglia.1,Microglia.2,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.2,Oligo.3,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vip.Crh.C1ql1,Vip.Crh.Pcp4,Vsmc,Zero
Astro.1,0.293475478041476,0.091364919693493,0.08988593654459201,0.07089282344067101,0.073893045771155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005351855781384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08390228183027901,0.004361120316806,0.0074031482489260005,0.010583558687704001,0.005228476065536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022090678259866003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050414562037141,0.0,0.012702325976633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00278883595097,0.0,0.103408265705134,0.067137214172104
Astro.1,0.03320776807587,0.007452022260887,0.008745633787949,0.015959884370800002,0.027089465454337002,0.0,0.0,0.0,0.0,0.0,0.027508826259348,0.023232893589478002,0.0645055701955,0.0,0.46815327142661806,0.04856389323904901,0.034113444453423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004288276866507,0.001870440401536,0.0,0.054763949662539,0.039910777441408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007785986697569001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061692373880020005,0.016820771257687002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045968175733720005,0.0067615846030840004,0.0,0.012699589449192,0.082479602200348
Astro.1,0.28853859802820203,0.309876281692744,0.151104328593184,0.10758773057396501,0.042129077721038,0.0,0.0,0.012170274037231001,0.0,0.0037194696189710003,0.0063194213625700005,0.005876243261942001,0.005040074296086001,0.024557770301278002,0.0,0.003371648019199,0.0017321519032580002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001574568014528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018734877952906,0.0,0.0,0.014924726262763002
Astro.1,0.006866227249121001,0.010862911407153002,0.0030240618956350004,0.001814788375458,0.004666187774293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001126052227788,0.0,0.003773023420615,0.0044076578906120005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022781375121380004,0.9602953678213171
Astro.1,0.0027029051158100003,0.001142404379627,0.0,0.0,0.0018171710285000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001616790087339,0.0,0.002393697044639,0.0029989341813410004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0053469383913580006,0.980493566046125
Astro.1,0.08959371478066101,0.07479132927278001,0.035854528139582,0.028144579138558,0.137755381742966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001160893584215,0.001004190113558,0.0,0.0,0.001053086284563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006093950432164001,0.6236825312935841
Astro.1,0.01052599825957,0.01053660550596,0.0036982383032930005,0.0029987711394230004,0.011006599777217001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005191114868093,0.0016722953121630002,0.0,0.006137002607991,0.003934334008778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024083567798691002,0.920071525283859
Astro.1,0.0,0.0,0.004263529045862,0.0,0.0,0.155131284588328,0.009192191337710001,0.029853471690792003,0.040080807380311,0.027925812864274,0.0,0.0,0.0,0.013040182470541001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056883199019860005,0.0,0.0,0.0,0.0,0.0,0.7140460552691421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010744282142889,0.0,0.0,0.060868581925487004,0.0050665316094200006,0.001757535624599,0.137750873565217,0.036741042539740004,0.039414697886012005,0.005932745092115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001107654581659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013094320697537002,0.006082733953678,0.0,0.001052051543952,0.0,0.0,0.0,0.002223457635009,0.0,0.0,0.10384008283672101,0.20593084686625102,0.365480645845065,0.0,0.0
Astro.1,0.035331695744580005,0.011270064947573,0.007773945323513,0.004604473845406,0.009818135513367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040816176886128,0.0,0.001097231142783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006941827285302,0.002518252493892,0.0,0.024687911818006003,0.011786032646068001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023490900654758003,0.816965769082282
