Gene,Expt,x,y
3110035E14Rik,1,6745,13982
3110035E14Rik,1,6745,14203
3110035E14Rik,1,6747,14059
3110035E14Rik,1,6749,14121
3110035E14Rik,1,6749,14413
3110035E14Rik,1,6750,14700
3110035E14Rik,1,6751,14143
3110035E14Rik,1,6752,14446
3110035E14Rik,1,6753,14060
3110035E14Rik,1,6753,14145
3110035E14Rik,1,6753,14491
3110035E14Rik,1,6754,13811
3110035E14Rik,1,6754,14130
3110035E14Rik,1,6754,14211
3110035E14Rik,1,6757,14070
3110035E14Rik,1,6758,14387
3110035E14Rik,1,6760,14225
3110035E14Rik,1,6761,14091
3110035E14Rik,1,6763,13796
3110035E14Rik,1,6763,14148
3110035E14Rik,1,6763,14311
3110035E14Rik,1,6766,14559
3110035E14Rik,1,6770,13671
3110035E14Rik,1,6771,13947
3110035E14Rik,1,6772,14562
3110035E14Rik,1,6773,14607
3110035E14Rik,1,6774,14453
3110035E14Rik,1,6776,14129
3110035E14Rik,1,6776,14162
3110035E14Rik,1,6776,14732
3110035E14Rik,1,6781,14060
3110035E14Rik,1,6781,14290
3110035E14Rik,1,6784,13875
3110035E14Rik,1,6788,14470
3110035E14Rik,1,6791,14317
3110035E14Rik,1,6791,14361
3110035E14Rik,1,6792,14573
3110035E14Rik,1,6794,14286
3110035E14Rik,1,6795,14850
3110035E14Rik,1,6798,14409
3110035E14Rik,1,6801,14296
3110035E14Rik,1,6801,14297
3110035E14Rik,1,6804,14495
3110035E14Rik,1,6804,14722
3110035E14Rik,1,6807,14164
3110035E14Rik,1,6807,14287
3110035E14Rik,1,6807,14576
3110035E14Rik,1,6808,14541
3110035E14Rik,1,6809,14416
3110035E14Rik,1,6810,14570
3110035E14Rik,1,6813,14097
3110035E14Rik,1,6814,13924
3110035E14Rik,1,6816,14322
3110035E14Rik,1,6816,14446
3110035E14Rik,1,6816,14515
3110035E14Rik,1,6820,13874
3110035E14Rik,1,6820,14528
3110035E14Rik,1,6822,14745
3110035E14Rik,1,6824,14392
3110035E14Rik,1,6824,14472
3110035E14Rik,1,6825,14090
3110035E14Rik,1,6825,14490
3110035E14Rik,1,6827,14489
3110035E14Rik,1,6828,14381
3110035E14Rik,1,6828,14426
3110035E14Rik,1,6829,14118
3110035E14Rik,1,6831,13917
3110035E14Rik,1,6833,14439
3110035E14Rik,1,6835,14613
3110035E14Rik,1,6836,14420
3110035E14Rik,1,6836,14639
3110035E14Rik,1,6838,14574
3110035E14Rik,1,6843,14420
3110035E14Rik,1,6844,14771
3110035E14Rik,1,6845,14263
3110035E14Rik,1,6849,14438
3110035E14Rik,1,6849,14550
3110035E14Rik,1,6853,14552
3110035E14Rik,1,6854,14577
3110035E14Rik,1,6856,13710
3110035E14Rik,1,6857,14483
3110035E14Rik,1,6858,14406
3110035E14Rik,1,6859,14345
3110035E14Rik,1,6860,14442
3110035E14Rik,1,6870,14407
3110035E14Rik,1,6872,14644
3110035E14Rik,1,6877,14436
3110035E14Rik,1,6879,14438
3110035E14Rik,1,6879,14499
3110035E14Rik,1,6880,14577
3110035E14Rik,1,6880,14659
3110035E14Rik,1,6880,14725
3110035E14Rik,1,6882,13839
3110035E14Rik,1,6882,14740
3110035E14Rik,1,6883,14708
3110035E14Rik,1,6884,14457
3110035E14Rik,1,6885,14788
3110035E14Rik,1,6886,14499
3110035E14Rik,1,6886,14558
3110035E14Rik,1,6888,14785
3110035E14Rik,1,6889,14412
3110035E14Rik,1,6890,14412
3110035E14Rik,1,6897,14693
3110035E14Rik,1,6902,14334
3110035E14Rik,1,6904,14662
3110035E14Rik,1,6904,14719
3110035E14Rik,1,6905,14748
3110035E14Rik,1,6908,14615
3110035E14Rik,1,6909,14646
3110035E14Rik,1,6910,14367
3110035E14Rik,1,6915,14585
3110035E14Rik,1,6916,14424
3110035E14Rik,1,6916,14463
3110035E14Rik,1,6918,14618
3110035E14Rik,1,6920,14493
3110035E14Rik,1,6923,14575
3110035E14Rik,1,6924,14917
3110035E14Rik,1,6928,14410
3110035E14Rik,1,6928,14508
3110035E14Rik,1,6938,14596
3110035E14Rik,1,6940,14741
3110035E14Rik,1,6943,14716
3110035E14Rik,1,6943,14802
3110035E14Rik,1,6948,14314
3110035E14Rik,1,6949,14831
3110035E14Rik,1,6950,14587
3110035E14Rik,1,6955,14892
3110035E14Rik,1,6958,14630
3110035E14Rik,1,6959,14710
3110035E14Rik,1,6960,14601
3110035E14Rik,1,6963,14537
3110035E14Rik,1,6964,14536
3110035E14Rik,1,6964,14903
3110035E14Rik,1,6966,14648
3110035E14Rik,1,6967,14761
3110035E14Rik,1,6975,14404
3110035E14Rik,1,6977,14766
3110035E14Rik,1,6983,14866
3110035E14Rik,1,6984,14593
3110035E14Rik,1,6984,14623
3110035E14Rik,1,6985,14622
3110035E14Rik,1,6987,14638
3110035E14Rik,1,6998,14754
3110035E14Rik,1,6999,14513
3110035E14Rik,1,6999,14915
3110035E14Rik,1,7002,14736
3110035E14Rik,1,7002,14834
3110035E14Rik,1,7006,14780
3110035E14Rik,1,7007,14688
3110035E14Rik,1,7009,13707
3110035E14Rik,1,7016,14737
3110035E14Rik,1,7017,14761
3110035E14Rik,1,7019,14626
3110035E14Rik,1,7020,13959
3110035E14Rik,1,7021,14784
3110035E14Rik,1,7021,14915
3110035E14Rik,1,7023,14805
3110035E14Rik,1,7026,14740
3110035E14Rik,1,7034,14798
3110035E14Rik,1,7036,13850
3110035E14Rik,1,7036,14899
3110035E14Rik,1,7037,14881
3110035E14Rik,1,7040,14830
3110035E14Rik,1,7047,14726
3110035E14Rik,1,7047,14842
3110035E14Rik,1,7049,14345
3110035E14Rik,1,7052,14843
3110035E14Rik,1,7056,14159
3110035E14Rik,1,7057,14716
3110035E14Rik,1,7060,14765
3110035E14Rik,1,7060,14901
3110035E14Rik,1,7065,14827
3110035E14Rik,1,7069,14757
3110035E14Rik,1,7070,14887
3110035E14Rik,1,7077,13893
3110035E14Rik,1,7084,14518
3110035E14Rik,1,7091,13863
3110035E14Rik,1,7091,14619
3110035E14Rik,1,7092,14517
3110035E14Rik,1,7096,14817
3110035E14Rik,1,7103,14849
3110035E14Rik,1,7104,14761
3110035E14Rik,1,7104,14916
3110035E14Rik,1,7115,14706
3110035E14Rik,1,7117,14843
3110035E14Rik,1,7119,14852
3110035E14Rik,1,7121,14912
3110035E14Rik,1,7127,14827
3110035E14Rik,1,7139,14832
3110035E14Rik,1,7144,14867
3110035E14Rik,1,7145,14143
3110035E14Rik,1,7154,14525
3110035E14Rik,1,7155,14910
3110035E14Rik,1,7163,14878
3110035E14Rik,1,7166,14064
3110035E14Rik,1,7167,14840
3110035E14Rik,1,7169,14857
3110035E14Rik,1,7189,14879
3110035E14Rik,1,7199,14873
3110035E14Rik,1,7204,14535
3110035E14Rik,1,7217,14851
3110035E14Rik,1,7232,14205
3110035E14Rik,1,7255,14859
3110035E14Rik,1,7272,14610
3110035E14Rik,1,7296,14209
3110035E14Rik,1,6252,16052
3110035E14Rik,1,6253,16364
3110035E14Rik,1,6254,16166
3110035E14Rik,1,6254,16363
3110035E14Rik,1,6254,16625
3110035E14Rik,1,6254,16668
3110035E14Rik,1,6254,16715
3110035E14Rik,1,6255,15785
3110035E14Rik,1,6255,16529
3110035E14Rik,1,6255,16789
3110035E14Rik,1,6256,15610
3110035E14Rik,1,6256,16375
3110035E14Rik,1,6257,15753
3110035E14Rik,1,6258,15844
3110035E14Rik,1,6259,15590
3110035E14Rik,1,6259,16169
3110035E14Rik,1,6260,16517
3110035E14Rik,1,6261,16740
3110035E14Rik,1,6264,15775
3110035E14Rik,1,6264,15937
3110035E14Rik,1,6265,16105
3110035E14Rik,1,6266,16289
3110035E14Rik,1,6267,15773
3110035E14Rik,1,6267,16161
3110035E14Rik,1,6268,15667
3110035E14Rik,1,6268,15779
3110035E14Rik,1,6269,15676
3110035E14Rik,1,6270,16139
3110035E14Rik,1,6270,16552
3110035E14Rik,1,6271,16001
3110035E14Rik,1,6271,16039
3110035E14Rik,1,6273,16763
3110035E14Rik,1,6274,16257
3110035E14Rik,1,6275,16268
3110035E14Rik,1,6276,16055
3110035E14Rik,1,6281,16041
3110035E14Rik,1,6282,15820
3110035E14Rik,1,6282,16617
3110035E14Rik,1,6283,15606
3110035E14Rik,1,6283,15849
3110035E14Rik,1,6284,15665
3110035E14Rik,1,6284,16136
3110035E14Rik,1,6284,16451
3110035E14Rik,1,6284,16505
3110035E14Rik,1,6284,16608
3110035E14Rik,1,6285,15617
3110035E14Rik,1,6285,16472
3110035E14Rik,1,6286,16089
3110035E14Rik,1,6286,16396
3110035E14Rik,1,6287,15686
3110035E14Rik,1,6287,15763
3110035E14Rik,1,6288,15763
3110035E14Rik,1,6288,15989
3110035E14Rik,1,6288,16206
3110035E14Rik,1,6288,16740
3110035E14Rik,1,6291,15508
3110035E14Rik,1,6291,15799
3110035E14Rik,1,6291,15992
3110035E14Rik,1,6293,16417
3110035E14Rik,1,6295,16369
3110035E14Rik,1,6297,15897
3110035E14Rik,1,6297,16155
3110035E14Rik,1,6297,16507
3110035E14Rik,1,6298,16369
3110035E14Rik,1,6299,16381
3110035E14Rik,1,6300,15602
3110035E14Rik,1,6301,15830
3110035E14Rik,1,6302,15957
3110035E14Rik,1,6303,16195
3110035E14Rik,1,6303,16442
3110035E14Rik,1,6304,16373
3110035E14Rik,1,6308,16413
3110035E14Rik,1,6310,15814
3110035E14Rik,1,6310,16731
3110035E14Rik,1,6311,15888
3110035E14Rik,1,6311,16488
3110035E14Rik,1,6315,15512
3110035E14Rik,1,6317,16387
3110035E14Rik,1,6320,16183
3110035E14Rik,1,6323,16461
3110035E14Rik,1,6323,16659
3110035E14Rik,1,6324,16184
3110035E14Rik,1,6325,16221
3110035E14Rik,1,6326,15859
3110035E14Rik,1,6326,16767
3110035E14Rik,1,6327,16436
3110035E14Rik,1,6328,15965
3110035E14Rik,1,6328,16209
3110035E14Rik,1,6329,15884
3110035E14Rik,1,6330,15731
3110035E14Rik,1,6331,15732
3110035E14Rik,1,6331,16610
3110035E14Rik,1,6334,15936
3110035E14Rik,1,6334,16260
3110035E14Rik,1,6336,16436
3110035E14Rik,1,6337,15668
3110035E14Rik,1,6337,16321
3110035E14Rik,1,6339,16475
3110035E14Rik,1,6339,16571
3110035E14Rik,1,6341,16255
3110035E14Rik,1,6342,15894
3110035E14Rik,1,6344,15943
3110035E14Rik,1,6345,15791
3110035E14Rik,1,6345,16275
3110035E14Rik,1,6346,16270
3110035E14Rik,1,6346,16458
3110035E14Rik,1,6349,15848
3110035E14Rik,1,6349,16162
3110035E14Rik,1,6350,15758
3110035E14Rik,1,6350,16201
3110035E14Rik,1,6351,15862
3110035E14Rik,1,6351,16758
3110035E14Rik,1,6352,15909
3110035E14Rik,1,6352,16141
3110035E14Rik,1,6353,15878
3110035E14Rik,1,6354,16418
3110035E14Rik,1,6355,15747
3110035E14Rik,1,6355,16606
3110035E14Rik,1,6356,15755
3110035E14Rik,1,6356,15860
3110035E14Rik,1,6358,16269
3110035E14Rik,1,6359,15807
3110035E14Rik,1,6359,15958
3110035E14Rik,1,6360,15879
3110035E14Rik,1,6361,15944
3110035E14Rik,1,6362,15854
3110035E14Rik,1,6365,15886
3110035E14Rik,1,6366,16780
3110035E14Rik,1,6367,16173
3110035E14Rik,1,6369,15858
3110035E14Rik,1,6369,15952
3110035E14Rik,1,6370,16641
3110035E14Rik,1,6371,16027
3110035E14Rik,1,6371,16288
3110035E14Rik,1,6371,16399
3110035E14Rik,1,6371,16640
3110035E14Rik,1,6374,16179
3110035E14Rik,1,6374,16187
3110035E14Rik,1,6375,16014
3110035E14Rik,1,6375,16401
3110035E14Rik,1,6375,16777
3110035E14Rik,1,6376,15928
3110035E14Rik,1,6377,16557
3110035E14Rik,1,6379,16028
3110035E14Rik,1,6379,16766
3110035E14Rik,1,6380,15881
3110035E14Rik,1,6380,16773
3110035E14Rik,1,6382,16304
3110035E14Rik,1,6384,16177
3110035E14Rik,1,6384,16394
3110035E14Rik,1,6385,16169
3110035E14Rik,1,6387,16402
3110035E14Rik,1,6388,16229
3110035E14Rik,1,6388,16521
3110035E14Rik,1,6389,15936
3110035E14Rik,1,6390,16113
3110035E14Rik,1,6391,16334
3110035E14Rik,1,6391,16413
3110035E14Rik,1,6391,16695
3110035E14Rik,1,6391,16774
3110035E14Rik,1,6392,16100
3110035E14Rik,1,6393,16706
3110035E14Rik,1,6394,15743
3110035E14Rik,1,6394,16420
3110035E14Rik,1,6395,15995
3110035E14Rik,1,6396,15922
3110035E14Rik,1,6396,16540
3110035E14Rik,1,6397,16688
3110035E14Rik,1,6400,16553
3110035E14Rik,1,6404,15742
3110035E14Rik,1,6404,16420
3110035E14Rik,1,6405,15743
3110035E14Rik,1,6406,15744
3110035E14Rik,1,6407,15933
3110035E14Rik,1,6407,16463
3110035E14Rik,1,6408,15932
3110035E14Rik,1,6408,16216
3110035E14Rik,1,6408,16227
3110035E14Rik,1,6409,16779
3110035E14Rik,1,6411,16223
3110035E14Rik,1,6419,16005
3110035E14Rik,1,6421,16376
3110035E14Rik,1,6423,15928
3110035E14Rik,1,6423,16524
3110035E14Rik,1,6425,15932
3110035E14Rik,1,6428,15817
3110035E14Rik,1,6428,16334
3110035E14Rik,1,6428,16678
3110035E14Rik,1,6429,16088
3110035E14Rik,1,6432,15958
3110035E14Rik,1,6433,16267
3110035E14Rik,1,6435,15798
3110035E14Rik,1,6435,16310
3110035E14Rik,1,6435,16325
3110035E14Rik,1,6436,15947
3110035E14Rik,1,6438,16082
3110035E14Rik,1,6438,16582
3110035E14Rik,1,6438,16633
3110035E14Rik,1,6439,16349
3110035E14Rik,1,6439,16529
3110035E14Rik,1,6441,16092
3110035E14Rik,1,6441,16316
3110035E14Rik,1,6442,15935
3110035E14Rik,1,6442,16015
3110035E14Rik,1,6443,16284
3110035E14Rik,1,6444,16426
3110035E14Rik,1,6445,16156
3110035E14Rik,1,6445,16202
3110035E14Rik,1,6446,16090
3110035E14Rik,1,6446,16094
3110035E14Rik,1,6447,15960
3110035E14Rik,1,6448,15947
3110035E14Rik,1,6448,16032
3110035E14Rik,1,6448,16311
3110035E14Rik,1,6449,15822
3110035E14Rik,1,6450,16274
3110035E14Rik,1,6451,15952
3110035E14Rik,1,6452,16146
3110035E14Rik,1,6453,16147
3110035E14Rik,1,6456,16313
3110035E14Rik,1,6457,15857
3110035E14Rik,1,6458,15935
3110035E14Rik,1,6458,16190
3110035E14Rik,1,6461,16142
3110035E14Rik,1,6461,16205
3110035E14Rik,1,6464,16022
3110035E14Rik,1,6465,15842
3110035E14Rik,1,6465,16188
3110035E14Rik,1,6467,16051
3110035E14Rik,1,6469,16216
3110035E14Rik,1,6471,15608
3110035E14Rik,1,6472,16608
3110035E14Rik,1,6474,15893
3110035E14Rik,1,6474,16143
3110035E14Rik,1,6475,16144
3110035E14Rik,1,6476,15952
3110035E14Rik,1,6476,16012
3110035E14Rik,1,6479,16018
3110035E14Rik,1,6482,16007
3110035E14Rik,1,6483,16065
3110035E14Rik,1,6483,16706
3110035E14Rik,1,6484,16030
3110035E14Rik,1,6485,16161
3110035E14Rik,1,6486,16425
3110035E14Rik,1,6487,16294
3110035E14Rik,1,6488,16652
3110035E14Rik,1,6489,15999
3110035E14Rik,1,6489,16145
3110035E14Rik,1,6490,16169
3110035E14Rik,1,6496,16019
3110035E14Rik,1,6496,16785
3110035E14Rik,1,6497,16168
3110035E14Rik,1,6497,16381
3110035E14Rik,1,6498,16309
3110035E14Rik,1,6499,16105
3110035E14Rik,1,6499,16311
3110035E14Rik,1,6502,16604
3110035E14Rik,1,6503,16106
3110035E14Rik,1,6506,15936
3110035E14Rik,1,6508,16286
3110035E14Rik,1,6509,16186
3110035E14Rik,1,6509,16377
3110035E14Rik,1,6513,16555
3110035E14Rik,1,6515,15965
3110035E14Rik,1,6516,16374
3110035E14Rik,1,6517,16035
3110035E14Rik,1,6518,15936
3110035E14Rik,1,6523,16256
3110035E14Rik,1,6529,16204
3110035E14Rik,1,6529,16654
3110035E14Rik,1,6530,16644
3110035E14Rik,1,6531,15959
3110035E14Rik,1,6531,16484
3110035E14Rik,1,6532,16552
3110035E14Rik,1,6534,16184
3110035E14Rik,1,6535,16005
3110035E14Rik,1,6536,16769
3110035E14Rik,1,6539,16320
3110035E14Rik,1,6539,16613
3110035E14Rik,1,6540,16021
3110035E14Rik,1,6540,16521
3110035E14Rik,1,6545,16524
3110035E14Rik,1,6547,16393
3110035E14Rik,1,6549,16328
3110035E14Rik,1,6549,16384
3110035E14Rik,1,6553,16383
3110035E14Rik,1,6558,15976
3110035E14Rik,1,6559,16372
3110035E14Rik,1,6561,16098
3110035E14Rik,1,6564,16278
3110035E14Rik,1,6565,16174
3110035E14Rik,1,6565,16373
3110035E14Rik,1,6566,16372
3110035E14Rik,1,6569,16265
3110035E14Rik,1,6570,16097
3110035E14Rik,1,6575,16649
3110035E14Rik,1,6579,16132
3110035E14Rik,1,6579,16377
3110035E14Rik,1,6580,15995
3110035E14Rik,1,6581,16448
3110035E14Rik,1,6581,16484
3110035E14Rik,1,6584,15972
3110035E14Rik,1,6584,16352
3110035E14Rik,1,6584,16447
3110035E14Rik,1,6587,16470
3110035E14Rik,1,6590,16110
3110035E14Rik,1,6592,16194
3110035E14Rik,1,6592,16483
3110035E14Rik,1,6593,16342
3110035E14Rik,1,6596,16201
3110035E14Rik,1,6597,16336
3110035E14Rik,1,6597,16476
3110035E14Rik,1,6600,16235
3110035E14Rik,1,6600,16297
3110035E14Rik,1,6603,16715
3110035E14Rik,1,6605,15914
3110035E14Rik,1,6605,16537
3110035E14Rik,1,6606,16719
3110035E14Rik,1,6607,16565
3110035E14Rik,1,6608,16289
3110035E14Rik,1,6611,16695
3110035E14Rik,1,6614,15517
3110035E14Rik,1,6616,16237
3110035E14Rik,1,6617,16104
3110035E14Rik,1,6620,16478
3110035E14Rik,1,6622,16440
3110035E14Rik,1,6622,16715
3110035E14Rik,1,6624,16332
3110035E14Rik,1,6624,16663
3110035E14Rik,1,6628,16051
3110035E14Rik,1,6628,16481
3110035E14Rik,1,6628,16703
3110035E14Rik,1,6629,16400
3110035E14Rik,1,6629,16492
3110035E14Rik,1,6630,16132
3110035E14Rik,1,6630,16340
3110035E14Rik,1,6632,16665
3110035E14Rik,1,6634,16227
3110035E14Rik,1,6635,16217
3110035E14Rik,1,6636,16652
3110035E14Rik,1,6642,16420
3110035E14Rik,1,6643,16421
3110035E14Rik,1,6645,16417
3110035E14Rik,1,6645,16595
3110035E14Rik,1,6647,16097
3110035E14Rik,1,6647,16588
3110035E14Rik,1,6648,16417
3110035E14Rik,1,6648,16431
3110035E14Rik,1,6648,16683
3110035E14Rik,1,6651,16206
3110035E14Rik,1,6651,16233
3110035E14Rik,1,6653,16532
3110035E14Rik,1,6654,15943
3110035E14Rik,1,6654,16093
3110035E14Rik,1,6654,16399
3110035E14Rik,1,6655,16144
3110035E14Rik,1,6655,16435
3110035E14Rik,1,6657,16693
3110035E14Rik,1,6658,16594
3110035E14Rik,1,6661,16427
3110035E14Rik,1,6662,16266
3110035E14Rik,1,6663,15545
3110035E14Rik,1,6664,16199
3110035E14Rik,1,6664,16428
3110035E14Rik,1,6664,16593
3110035E14Rik,1,6665,16312
3110035E14Rik,1,6665,16722
3110035E14Rik,1,6665,16738
3110035E14Rik,1,6669,16115
3110035E14Rik,1,6671,16160
3110035E14Rik,1,6671,16463
3110035E14Rik,1,6671,16578
3110035E14Rik,1,6673,16108
3110035E14Rik,1,6674,16506
3110035E14Rik,1,6683,16526
3110035E14Rik,1,6684,16370
3110035E14Rik,1,6685,16528
3110035E14Rik,1,6685,16663
3110035E14Rik,1,6686,15890
3110035E14Rik,1,6686,16158
3110035E14Rik,1,6686,16753
3110035E14Rik,1,6687,16637
3110035E14Rik,1,6688,16451
3110035E14Rik,1,6688,16595
3110035E14Rik,1,6688,16596
3110035E14Rik,1,6691,16734
3110035E14Rik,1,6692,16376
3110035E14Rik,1,6692,16650
3110035E14Rik,1,6693,16158
3110035E14Rik,1,6694,16463
3110035E14Rik,1,6696,16244
3110035E14Rik,1,6696,16515
3110035E14Rik,1,6697,16619
3110035E14Rik,1,6698,16272
3110035E14Rik,1,6698,16307
3110035E14Rik,1,6699,16255
3110035E14Rik,1,6699,16577
3110035E14Rik,1,6699,16646
3110035E14Rik,1,6700,16240
3110035E14Rik,1,6700,16282
3110035E14Rik,1,6701,16508
3110035E14Rik,1,6703,16464
3110035E14Rik,1,6703,16684
3110035E14Rik,1,6703,16778
3110035E14Rik,1,6704,16750
3110035E14Rik,1,6705,16566
3110035E14Rik,1,6709,16186
3110035E14Rik,1,6710,16264
3110035E14Rik,1,6710,16469
3110035E14Rik,1,6712,16630
3110035E14Rik,1,6713,16640
3110035E14Rik,1,6714,15917
3110035E14Rik,1,6715,16319
3110035E14Rik,1,6716,16564
3110035E14Rik,1,6717,16147
3110035E14Rik,1,6720,16778
3110035E14Rik,1,6721,16190
3110035E14Rik,1,6721,16339
3110035E14Rik,1,6722,16354
3110035E14Rik,1,6723,16220
3110035E14Rik,1,6723,16586
3110035E14Rik,1,6724,16167
3110035E14Rik,1,6724,16178
3110035E14Rik,1,6725,16378
3110035E14Rik,1,6726,16337
3110035E14Rik,1,6726,16396
3110035E14Rik,1,6729,16199
3110035E14Rik,1,6730,16580
3110035E14Rik,1,6732,16173
3110035E14Rik,1,6733,16341
3110035E14Rik,1,6741,16474
3110035E14Rik,1,6743,16296
3110035E14Rik,1,6744,16301
3110035E14Rik,1,6745,16205
3110035E14Rik,1,6746,16273
3110035E14Rik,1,6748,16220
3110035E14Rik,1,6749,16633
3110035E14Rik,1,6750,16330
3110035E14Rik,1,6750,16560
3110035E14Rik,1,6751,16786
3110035E14Rik,1,6753,16782
3110035E14Rik,1,6757,16567
3110035E14Rik,1,6758,16467
3110035E14Rik,1,6759,16291
3110035E14Rik,1,6763,16585
3110035E14Rik,1,6764,16207
3110035E14Rik,1,6768,16689
3110035E14Rik,1,6769,16704
3110035E14Rik,1,6773,16483
3110035E14Rik,1,6773,16612
3110035E14Rik,1,6774,16190
3110035E14Rik,1,6774,16731
3110035E14Rik,1,6776,16306
