model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Calb2.Vip.Nos1,Cck.Cxcl14.Calb1.Igfbp5,Cck.Cxcl14.Calb1.Tac2,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Vip,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Fam19a2,Cck.Lmo1.Vip.Tac2,Cck.Lypd1,Cck.Sema5a,Choroid,Endo,Eryth.1,Eryth.2,Microglia.1,Microglia.2,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.2,Oligo.3,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vip.Crh.C1ql1,Vip.Crh.Pcp4,Vsmc,Zero
Astro.1,0.08705367672899601,0.329938834263647,0.069143945989889,0.49827560373260904,0.015572830490555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro.1,0.539285788635899,0.0,0.20527487235851,0.0018401754538440002,0.02821447554347,0.0,0.0,0.0,0.0,0.0,0.0,0.00385050715807,0.0,0.0,0.008856542348108001,0.016359957547903002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031274076194778004,0.0,0.023875442324350002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.110189106532735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002989381997649,0.0,0.0,0.0,0.0,0.0,0.0012111780094480001,0.0,0.0,0.0,0.0,0.0,0.0,0.004078618807068,0.002169854358358,0.0,0.015602578784313,0.0
Astro.1,0.28573423921684604,0.174485046093826,0.132019567650477,0.39154228205621905,0.015870325782857003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro.1,0.13749228018884302,0.00665737080661,0.045012140612096005,0.008829624339525001,0.47330528311895703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003146010003112,0.0,0.0017625277580910002,0.002793036220473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11375781917189001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20538098771618601
Astro.1,0.5474488109038961,0.024935034274543,0.037103945485243005,0.012423539222682,0.20499826831008902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17142288160767102
Astro.1,0.119476999989401,0.058101690050125006,0.34874672211765,0.025741874363592,0.446716895270555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001170182541028
Astro.1,0.193904813930438,0.025524499619046,0.24406776141905,0.030032061061115,0.504094323037476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011434815500060002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro.1,0.11975457253183601,0.0225598045673,0.629005705081785,0.173800293041932,0.054879624402985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro.1,0.8101965507669151,0.005675085481476,0.140409119900777,0.016693784262126,0.02420112588089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001701116379579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro.1,0.14735671649623602,0.316359408039318,0.038439036455626005,0.450580372813062,0.045736923360552004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014594754458
