model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Cck.Calca,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Vip,Cck.Lmo1.Vip.Crh,Cck.Lypd1,Cck.Sema5a,Choroid,Endo,Eryth.2,Microglia.1,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.2,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vsmc,Zero
Astro.1,0.10859986315519402,0.012820614494417001,0.014678946434997002,0.004185771037183,0.052854777127247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006534068824441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7972383409415851
Astro.1,0.006468612463374,0.0036608895627130004,0.012651239231982001,0.001363093188256,0.00752712222077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023969271626352002,0.0,0.059217613326126003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12099826240284801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011129847824254,0.0,0.0,0.0,0.0,0.0,0.003406288916612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030712466937712003,0.717412309091726
Astro.1,0.0037192898540030004,0.001159938430591,0.009138416685535,0.0,0.0034221346377520004,0.0,0.0,0.6048771258074831,0.0,0.033486220275798,0.005955865127329,0.007348715547865,0.004409436751802,0.11555634027719901,0.026974745643221002,0.008633774166121001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022280836878600004,0.0,0.001062510204519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003925670450386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018290587602200002,0.0,0.0,0.0,0.010265810966561002,0.0,0.001279685683034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005138033918763001,0.148156845138777
Astro.1,0.035659729476941,0.056235345252674006,0.023139693637834,0.014711119607874001,0.057276459274625005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037714237505270002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004228379109673001,0.8044698355940311
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002534044535605,0.0,0.053536133807794005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013064049663263001,0.9284042414576291
Astro.1,0.02414932752885,0.005682120941103001,0.008730845004065001,0.001442700015032,0.012732494521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006587471118091001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008950497124243001,0.9306359231936121
Astro.1,0.03626364309381,0.028883642892496002,0.019844818548673003,0.023826537043455002,0.025708430527869003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8640718777064871
Astro.1,0.013079139333927,0.001463571042203,0.05404208565350901,0.0020209728019470003,0.002015624887932,0.0,0.0,0.0,0.0,0.0,0.48272679801245605,0.12662852864288202,0.041566360549082006,0.02490499302571,0.0,0.0011567810370310002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043921400956858,0.002384796230692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15027246762742,0.0,0.0,0.0,0.044323058280571,0.002344560551493,0.004009500939008001,0.0,0.0,0.0,0.0,0.0,0.0,0.0013731519292490002,0.0,0.0
Astro.1,0.123142842854042,0.021734705681306,0.48214960814454705,0.053706287862973004,0.245365235132968,0.0,0.0,0.0,0.0,0.0,0.001362518955597,0.0,0.001748555149511,0.0014258991402590002,0.047923336985293004,0.0049297684520570005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001244158804073,0.003188246594878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002031720778595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006091870717363001,0.0,0.0019541231199740002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro.1,0.013212692223373,0.019086478201337003,0.0077655005651000005,0.003466318649028,0.01953019957098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013533702778310002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015149799561720001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025064323348430004,0.9300593199975781
