model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Calb2.Vip.Nos1,Cck.Calca,Cck.Cxcl14.Calb1.Igfbp5,Cck.Cxcl14.Calb1.Tac2,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Vip,Cck.Lmo1.Npy,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Fam19a2,Cck.Lmo1.Vip.Tac2,Cck.Lypd1,Cck.Sema5a,Endo,Eryth.1,Eryth.2,Microglia.1,Microglia.2,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vip.Crh.C1ql1,Vip.Crh.Pcp4,Vsmc,Zero
Astro.1,0.007087249673234,0.003736184263303,0.013710967923084,0.0,0.020096433959648,0.0,0.0,0.0017896898395570002,0.00307874477701,0.042657094844059,0.06172737846687001,0.0022959972414630003,0.006142328508351001,0.0,0.288814334876197,0.046401509100446006,0.015628316416402003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003162695329892,0.0,0.0,0.03161797057604,0.011920123472696002,0.0,0.0,0.0,0.0,0.0,0.0,0.0075468174262490004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005378639422737,0.0,0.0,0.0,0.187697836791228,0.0,0.07105667808341101,0.0,0.0,0.0,0.0,0.0,0.0,0.006516120533668001,0.026210541655168004,0.0,0.004788429506554,0.12767923592934402
Astro.1,0.005805759499461,0.00215186422582,0.010224891496383,0.0,0.004502633240740001,0.0,0.0,0.0017156959587980001,0.0,0.0,0.003573448678273,0.0,0.0,0.005428538226403001,0.0021674943523900003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028300995772082,0.001245861299346,0.0,0.063075683006516,0.018093762253382002,0.0,0.0,0.0,0.0,0.0,0.0,0.035106350240204004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004357468625868,0.0,0.0,0.0,0.225474965398572,0.003212921186526,0.09294184447254401,0.0,0.0,0.0,0.0,0.0,0.0,0.030028623031435,0.0013040956939740001,0.0,0.07936695921217,0.37904310132601005
Astro.1,0.0069050445993430005,0.0035068250798860005,0.001314165755654,0.0016868091376210002,0.001631014854308,0.0,0.0,0.031296994688189,0.009393914914470001,0.012055968794498,0.0015394107445810001,0.14509599646288002,0.0015260422624260002,0.011721837869129,0.002617645431738,0.0154078729655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158728048238019,0.00117803397179,0.0038481828165430002,0.005879899905609,0.005441538436932,0.0,0.0,0.0,0.0,0.0,0.0,0.0025310212090110004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006788242814378001,0.0,0.0,0.0,0.009453425255087002,0.0,0.005355569731587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026566332041970003,0.22550327027177702,0.324818694891903
Astro.1,0.0,0.0,0.0,0.0,0.0010951079409830002,0.0,0.0,0.0,0.0,0.0,0.020692168879536,0.0,0.001289316194636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060171461547422006,0.01757355836261,0.049016178151453,0.005226391018008,0.004658899659391,0.0,0.0,0.0,0.0,0.0,0.0,0.06801564547804301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09884724756458001,0.6689206149748871
Astro.1,0.006548852463011,0.0014083660006540002,0.0022367841846420004,0.0,0.00622628613699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022792168915580003,0.016042996207212,0.0,0.025366607091633003,0.026151345183143004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009244184024037,0.9032466065758721
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031028903457380004,0.0,0.001620934568418,0.002478190882939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004164416835293,0.986363551758855
Astro.1,0.115187694214853,0.068937626301702,0.049982597354958004,0.019969366056661,0.038945255518346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007987064982151001,0.001355737870554,0.0,0.020852141860097,0.008203382568445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016589811927124002,0.651085624875494
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002185801168722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060308913022,0.002753570530275,0.0,0.001070141100204,0.0,0.0,0.0,0.0,0.0,0.550069430502212,0.0,0.0,0.0024085984334940003,0.064225657625103,0.0,0.342846658089106,0.0,0.0,0.0,0.0,0.0,0.0,0.026580288983719003,0.0,0.0,0.0,0.0
Astro.1,0.015437899327356001,0.010578532985421002,0.008933590553654001,0.012605123002500001,0.00209798491711,0.0,0.0,0.001436030314792,0.0,0.0,0.11972278886723801,0.007141123784399001,0.004159436434718,0.293772086607274,0.007008331163023001,0.0051392183476060005,0.001343167772704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47255097851104405,0.027229191946469004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007035748870690001,0.0,0.0,0.0
Astro.1,0.001022651473454,0.0031965813921030002,0.0026371130267570002,0.002617772677634,0.0014318791564350002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014161694879950002,0.0026066640732800004,0.0,0.0018789921650450001,0.002111497504498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003479529957322,0.9771825466155251
