model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Calb2.Vip.Nos1,Cck.Calca,Cck.Cxcl14.Calb1.Igfbp5,Cck.Cxcl14.Calb1.Kctd12,Cck.Cxcl14.Calb1.Tac2,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Slc17a8,Cck.Cxcl14.Vip,Cck.Lmo1.Npy,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Fam19a2,Cck.Lmo1.Vip.Tac2,Cck.Lypd1,Cck.Sema5a,Choroid,Endo,Eryth.1,Eryth.2,Microglia.1,Microglia.2,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.2,Oligo.3,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Nos1,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vip.Crh.C1ql1,Vip.Crh.Pcp4,Vsmc,Zero
Astro.1,0.18818235341539202,0.192239147422181,0.24744265042354702,0.17571978880650702,0.19561745236908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro.1,0.033751312205436,0.039238272957768,0.014103667370623001,0.030324404147292,0.028417333443343,0.0,0.0,0.0,0.0,0.0,0.003936440712005,0.005405054239397001,0.004513819727980001,0.0013394775155720002,0.004968221244915001,0.008027894115404001,0.004670306822117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005535143269745001,0.004173535027695001,0.00101660773471,0.007178185505066,0.008098713651668001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025771674719440004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009730360267723,0.0035785993167830005,0.007355667584103001,0.767117751561156
Astro.1,0.11245724261633201,0.051310695941561006,0.038799073541256,0.043232573140825,0.11577493134352601,0.0,0.0,0.0,0.0,0.0,0.011443151027603,0.013555038568763,0.024087432105734,0.0013956720732950002,0.049064708474658006,0.042650054719368,0.08154309783134901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036014853862410003,0.0,0.0,0.0,0.0,0.0,0.00444465115298,0.004094448622651001,0.0042432446012510006,0.005425887514284001,0.006525305885866001,0.018296011760396,0.001171248666799,0.0,0.0,0.0,0.0,0.0,0.0,0.003941199987215,0.0018356979117580001,0.0,0.001248374564772,0.0,0.0,0.0,0.0,0.0,0.008116991695954,0.0,0.0,0.0,0.0,0.0,0.0038335291354830003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026657466708785,0.002263730315976,0.005135001991767,0.306798683119945
Astro.1,0.186231555805649,0.13832734672163202,0.10665332265047901,0.13796465236646402,0.22390345690735203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003017391465787,0.00221391900787,0.0031024038362630004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028329081015030003,0.007506440774755,0.004096272570514,0.008665057159988,0.012107809774514,0.008528112978377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001370225677004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017895741076030002,0.0,0.004729879059443,0.141336906467206
Astro.1,0.13119151601693202,0.16360249520797301,0.09426043117605701,0.08379789426756501,0.136598680578808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004302135700737,0.0026589117102020004,0.0034935115827660003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066675196471380005,0.005803170923024001,0.001600713233044,0.001015088641734,0.009424079749712001,0.006991674759462001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001694020731173,0.0,0.004209407882191,0.33768165707895803
Astro.1,0.16651520910880802,0.211647571530091,0.072853090098908,0.12270657043141,0.142545829519587,0.0,0.0,0.0,0.0,0.0,0.0018625346703170001,0.0037147019778210003,0.0033966619609730004,0.0,0.0043875961268850005,0.009842622628846,0.005682192999474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001607893421214,0.001177387433608,0.0,0.0023394369378900003,0.002605365330159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007447596093725001,0.001701265197472,0.0023265261185760003,0.23133831320842901
Astro.1,0.207883187574875,0.167834446908422,0.17407531782481803,0.16144510326994702,0.21127191714415702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00395969875734,0.0014770485696680002,0.002254239234359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003665477899668,0.0,0.0,0.0012685002022480001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035005314277630002,0.0,0.004439127949715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010787610214600001,0.048807873152475006
Astro.1,0.092861414681723,0.20744888805883,0.19669069551292,0.42076884433160505,0.082209060787524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro.1,0.11273651660016201,0.05564591735213,0.11244643852425801,0.13653687238741402,0.17500278873164002,0.0023094097615950003,0.0032953285534670002,0.008464430665184,0.016821717399544002,0.015106729601604002,0.005238368945643001,0.0010497847818090001,0.0022908057572220003,0.008768664711513,0.004793796806759,0.0016534727362720002,0.002195347284366,0.004740078109362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004572595367443,0.0,0.0,0.0,0.0036456238664540003,0.017460034942098003,0.044477431425841006,0.007812035294767001,0.085806552214625,0.034641807813216005,0.017870716263622,0.0011714338973710001,0.0,0.0,0.0,0.0,0.0,0.0012817790953100002,0.010342335102039002,0.001294694379114,0.0,0.0,0.0025114138502950003,0.001043896471053,0.0,0.0016040446037160002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008268031091572,0.0017703337613840001,0.013357008788783,0.067070917760191
Astro.1,0.17834819453368603,0.281219078918431,0.16748966459196502,0.17742048637722402,0.18031857730495301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014280290480790001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010016584861870001
