model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Calb2.Vip.Nos1,Cck.Calca,Cck.Cxcl14.Calb1.Igfbp5,Cck.Cxcl14.Calb1.Kctd12,Cck.Cxcl14.Calb1.Tac2,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Slc17a8,Cck.Cxcl14.Vip,Cck.Lmo1.Npy,Cck.Lmo1.Vip.Crh,Cck.Lmo1.Vip.Fam19a2,Cck.Lmo1.Vip.Tac2,Cck.Lypd1,Cck.Sema5a,Choroid,Endo,Eryth.1,Eryth.2,Microglia.1,Microglia.2,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.1,Oligo.2,Oligo.3,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vip.Crh.C1ql1,Vip.Crh.Pcp4,Vsmc,Zero
Astro.1,0.011459292008869,0.008446972052878001,0.008173218201125,0.0064659542274180005,0.009527451455074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005535762627865,0.0,0.004908132860939001,0.007686410596821001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029975575021100004,0.933655528745941
Astro.1,0.034705484153034004,0.0018447144312290001,0.014452121284033,0.006227932521504001,0.008256878250797,0.0,0.0,0.0066672073051640005,0.0,0.0,0.006801609121103,0.015000157954602002,0.041375679519272006,0.050471629546475,0.138698220500023,0.036481407330361,0.0999920677897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001247454475531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39799038956514504,0.015261651505318,0.0,0.004932227007821001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030619442586337003,0.019475548571369003,0.0,0.064493950731854
Astro.1,0.032754163175181004,0.011303152914247001,0.012048453668223,0.016212708267453,0.019842365077134,0.0,0.0,0.0,0.0,0.0,0.0017369710667690002,0.001283370530895,0.0020840719802550003,0.0011149581156540001,0.006628730775712001,0.0036693165095540003,0.005860383669536001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035589215550620003,0.018645391154137003,0.0,0.012766381971049,0.015170253193105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019768064549207,0.00107738921553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026189998186990004,0.0,0.009931349776846001,0.798109419385547
Astro.1,0.042357443894783006,0.035774445262613,0.027301052354093,0.048359927405913,0.037260977115509006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045746897921320005,0.023641596843723002,0.0016329950713990001,0.02696659401727,0.020699700423406003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010014638739926,0.719804166274981
Astro.1,0.080061705632087,0.037068720033076,0.051694527812689,0.042724650907237004,0.030494977395942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014433008559130002,0.0073151714597340005,0.0,0.009963895085177001,0.010716701254454002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012619641228960002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003907117569566,0.7208829784756591
Astro.1,0.018275697628879,0.014294803994613001,0.007059952695972001,0.015115503320074001,0.011082170076439002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006616601535694,0.0,0.005718990374856001,0.00822149670066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033466001941700003,0.9079314734318911
Astro.1,0.014783409621611001,0.011914902984523001,0.010075686170487002,0.013164839771312001,0.011824359153783002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013635179350970001,0.0058509797837090005,0.0,0.005835736155315001,0.008441941139335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005882741322613,0.9099420056494399
Astro.1,0.21212561666103602,0.015409324217811,0.10912745445243101,0.028278791877197004,0.08952034831969401,0.0,0.0,0.0,0.0,0.0,0.001389628575886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027642999070391003,0.0022721065921740002,0.005589471285782001,0.015100610124319002,0.011090029582235001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004271264189126001,0.012932796909971001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04641348934013,0.415836243473913
Astro.1,0.211472663982769,0.046203668499046,0.21974005667366503,0.28268906723485304,0.10880268852173401,0.0,0.0,0.006043766902476,0.0,0.0,0.0,0.0,0.0,0.007076094363398001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031905877679570004,0.009010520571434,0.008640977274557001,0.00777479710093,0.0035699226447950005,0.0,0.0,0.0,0.0,0.0,0.0,0.0010992046924520001,0.0033676804775280003,0.039532956049173,0.002753463233068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031547446540590002,0.033742718419191
Astro.1,0.17048416577670603,0.040446965117812005,0.11150877174087001,0.064096950774752,0.041995449131025,0.0,0.0,0.0,0.0,0.0,0.002047406374904,0.0,0.00128710555546,0.0035489451878650004,0.004276948816085,0.0,0.001401831161499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013410467341880001,0.007134259577797001,0.0,0.007394316937589001,0.008418687198920001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008462828455547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012490351784600002,0.0,0.003497519930284,0.519485110008798
