name,x,y
6330403K07Rik,8535.632993384676,17130.79125076074
6330403K07Rik,10487.6069746654,17078.33333402993
6330403K07Rik,7237.96863923082,14031.869497846717
6330403K07Rik,7483.612114417636,15175.68297838645
6330403K07Rik,12779.104611030172,16007.620728728554
6330403K07Rik,12785.517613559288,15986.360172717037
6330403K07Rik,12760.505197531977,15998.64513894703
6330403K07Rik,12777.093957268002,15985.297063290629
6330403K07Rik,12767.913840044212,15980.313893270448
6330403K07Rik,11615.419289674614,17800.283538043986
6330403K07Rik,11597.600537298269,17803.13073189732
6330403K07Rik,9724.209991517575,16154.718592194824
6330403K07Rik,9455.640201475024,16421.986019783806
6330403K07Rik,7332.469377823442,15592.653063335245
6330403K07Rik,7332.789141471872,15568.909674775414
6330403K07Rik,7302.812217106025,15588.910308941575
6330403K07Rik,7313.999282700583,15558.947687799195
6330403K07Rik,7215.606801231132,15336.899912401419
6330403K07Rik,7222.273700473117,15323.396226666413
6330403K07Rik,8118.920933874977,16709.025978394093
6330403K07Rik,12664.02595005038,17520.258546020636
6330403K07Rik,12659.86760185411,17538.813840464445
6330403K07Rik,10673.143744867217,18068.100009451944
Adgrl2,8746.56087582062,17429.06903885812
Aldoc,12751.385675925538,16778.800896533397
Aldoc,8620.996300624192,15267.960721949981
Aldoc,8615.722081402395,15275.712893380729
Aldoc,11186.033328399168,16917.178973008085
Aldoc,11179.30010988749,16902.45419827201
Aldoc,7765.736937659416,15207.519887541928
Aldoc,9722.607160705425,17085.816908750334
Aldoc,9001.464987995934,16075.704212559915
Aldoc,12735.965480819727,17315.38676883253
Aldoc,12738.937131338354,17307.513815585942
Aldoc,8755.688607284714,17413.768710659653
Arpp21,7315.74219059673,15573.760896509179
Bcl11b,9740.181875770175,16166.517072263896
Bcl11b,8992.821071919114,16086.510772233443
Bcl11b,9371.951140262972,17398.40333309987
Bcl11b,7106.481894278342,14517.999286503116
Bcl11b,7968.879690373671,16909.043888078817
Cadps2,12747.08397731951,15977.106692448097
Cadps2,7526.57002379044,15235.195246375188
Cadps2,7531.462348216416,15226.81103179615
Cadps2,7049.172888042847,14240.952251055081
Calb1,8756.460960460645,17408.54684640576
Calb2,9449.76642377876,18162.88572866725
Cck,10482.672420099418,17071.138857381135
Cck,11799.880894641672,16884.27260666461
Cck,11812.813731386565,16876.924125734186
Cck,11789.73843160459,16877.92617111635
Cck,13172.577412077204,16378.069066342487
Cck,13179.216728285031,16359.89473882068
Cck,13451.416141587766,16984.10354353129
Cck,13478.984380333384,16973.624642668252
Cck,13457.959925297822,16978.45320917718
Cck,13460.143270006147,16975.885126578964
Cck,13463.02911119917,16994.234301725806
Cck,13454.380681774595,16983.63712454528
Cck,13467.0353134912,16991.328927497834
Cck,13469.625701153062,16964.725254555204
Cck,13468.150417503975,16985.319840197837
Cck,13450.020923806116,16984.78831462219
Cck,13465.381923547835,16982.126110437242
Cck,13451.431227925214,16978.15304578556
Cck,13451.79564034072,16977.378469517636
Cck,13468.685836357026,16974.71663532161
Cck,12777.277633096475,16007.287007946046
Cck,12776.66332686735,15981.886122116475
Cck,12766.846531428662,16003.699443703485
Cck,12781.360907830374,15999.09133067794
Cck,12768.28846123318,15975.532391577184
Cck,12770.13224076363,15980.210441965843
Cck,12767.776521767491,15985.10435544301
Cck,7516.996080114679,15240.253626526186
Cck,7522.805780024319,15230.387676700986
Cck,7506.34828762401,15236.027662591127
Cck,7054.980292578814,14202.016001686636
Cck,7050.292987928416,14206.807359566368
Cck,7040.767223080884,14231.43657936076
Cck,7059.449061368568,14216.297772745196
Cck,10395.74983384494,17812.93386440693
Cck,10381.037412034004,17835.045158065346
Cck,10358.397232218522,17825.20748415897
Cck,10383.860358527141,17820.570347523913
Cck,9518.905569233162,16743.60925249632
Cck,9527.355437216695,16734.461543589503
Cck,9538.256187090134,16744.82158442481
Cck,9537.988319624337,16738.417967251742
Cck,9535.82520867816,16743.564226288127
Cck,9528.513067852866,16743.11039243993
Cck,9520.913470120553,16736.359760045587
Cck,9527.789980684236,16731.074698625707
Cck,9522.516526513027,16745.661137898725
Cck,11611.881826177416,17815.393933824267
Cck,11606.74613642713,17814.71378731152
Cck,11600.15950035781,17816.068240025455
Cck,11592.758684855598,17808.339460127845
Cck,11597.897387030458,17797.184591733516
Cck,11601.661345765142,17805.438405853096
Cck,11609.732719937334,17809.776341223456
Cck,8668.159518797827,16903.267684097194
Cck,8680.237034972619,16900.19498353713
Cck,9156.019593192868,17022.896370127517
Cck,9147.319145505939,17025.31935373981
Cck,8589.148836048184,17178.91279258971
Cck,8575.347618523952,17182.532301868476
Cck,8576.930057089814,17168.660645060474
Cck,8574.302094838282,17174.78992141594
Cck,8556.973714896707,17161.482974161434
Cck,8567.574381518185,17178.43322584777
Cck,7323.1335675228065,15577.54555380964
