mode,norm,fold,xKey,xLabel,yKey,yLabel,val
constrained,mean,0,2.0,2.0,0.4,0.4,0.4594465231961602
constrained,mean,0,2.0,2.0,0.5,0.5,0.3445992907651185
constrained,mean,0,2.0,2.0,0.6,0.6,0.2790085309398739
constrained,mean,0,2.0,2.0,0.7,0.7,0.2089449984989246
constrained,mean,0,2.0,2.0,0.8,0.8,0.12214280966765051
constrained,mean,0,2.0,2.0,0.9,0.9,0.054853683151558044
constrained,mean,0,2.0,2.0,1.0,1.0,0.04440441224305786
constrained,mean,0,2.25,2.25,0.0,0.0,0.5634752048227011
constrained,mean,0,2.25,2.25,0.1,0.1,0.5572658287702105
constrained,mean,0,2.25,2.25,0.2,0.2,0.582791976209002
constrained,mean,0,2.25,2.25,0.3,0.3,0.5226189035358796
constrained,mean,0,2.25,2.25,0.4,0.4,0.438533583743736
constrained,mean,0,2.25,2.25,0.5,0.5,0.4235174787207177
constrained,mean,0,2.25,2.25,0.6,0.6,0.26360196923379225
constrained,mean,0,2.25,2.25,0.7,0.7,0.20075448493706685
constrained,mean,0,2.25,2.25,0.8,0.8,0.11482837110444345
constrained,mean,0,2.25,2.25,0.9,0.9,0.06558280943228458
constrained,mean,0,2.25,2.25,1.0,1.0,0.0402111884363738
constrained,mean,0,2.5,2.5,0.0,0.0,0.588601857215403
constrained,mean,0,2.5,2.5,0.1,0.1,0.5809432921113882
constrained,mean,0,2.5,2.5,0.2,0.2,0.595258026800171
constrained,mean,0,2.5,2.5,0.3,0.3,0.5447638638097854
constrained,mean,0,2.5,2.5,0.4,0.4,0.422155673243735
constrained,mean,0,2.5,2.5,0.5,0.5,0.38975080909170784
constrained,mean,0,2.5,2.5,0.6,0.6,0.2957502184803507
constrained,mean,0,2.5,2.5,0.7,0.7,0.1892707255714011
constrained,mean,0,2.5,2.5,0.8,0.8,0.11601417502362231
constrained,mean,0,2.5,2.5,0.9,0.9,0.06584118544018022
constrained,mean,0,2.5,2.5,1.0,1.0,0.04218595734544501
constrained,mean,0,2.75,2.75,0.0,0.0,0.5639903120522238
constrained,mean,0,2.75,2.75,0.1,0.1,0.5932402966538504
constrained,mean,0,2.75,2.75,0.2,0.2,0.5791169761793661
constrained,mean,0,2.75,2.75,0.3,0.3,0.5321130447187145
constrained,mean,0,2.75,2.75,0.4,0.4,0.45206473475070624
constrained,mean,0,2.75,2.75,0.5,0.5,0.4095613571005564
constrained,mean,0,2.75,2.75,0.6,0.6,0.3015247635409143
constrained,mean,0,2.75,2.75,0.7,0.7,0.22341859898656974
constrained,mean,0,2.75,2.75,0.8,0.8,0.11856487130122675
constrained,mean,0,2.75,2.75,0.9,0.9,0.06929659916260748
constrained,mean,0,2.75,2.75,1.0,1.0,0.04151822258454085
constrained,mean,0,3.0,3.0,0.0,0.0,0.5798868183400612
constrained,mean,0,3.0,3.0,0.1,0.1,0.6252079122898604
