mode,norm,fold,xKey,xLabel,yKey,yLabel,val
constrained,mutual_information,1,1.0,1.0,0.0,0.0,2.963129538115761
constrained,mutual_information,1,1.0,1.0,0.25,0.25,2.85568831394264
constrained,mutual_information,1,1.0,1.0,0.5,0.5,2.313527280576113
constrained,mutual_information,1,1.0,1.0,0.75,0.75,1.1591109370759927
constrained,mutual_information,1,1.0,1.0,1.0,1.0,0.024614870377355515
constrained,mutual_information,1,1.25,1.25,0.0,0.0,3.0490694100865996
constrained,mutual_information,1,1.25,1.25,0.25,0.25,2.9376305009436963
constrained,mutual_information,1,1.25,1.25,0.5,0.5,2.5345752492745772
constrained,mutual_information,1,1.25,1.25,0.75,0.75,1.2731672071286648
constrained,mutual_information,1,1.25,1.25,1.0,1.0,0.20793374867023987
constrained,mutual_information,1,1.5,1.5,0.0,0.0,3.0446354111563267
constrained,mutual_information,1,1.5,1.5,0.25,0.25,2.9988430268282253
constrained,mutual_information,1,1.5,1.5,0.5,0.5,2.631669841347494
constrained,mutual_information,1,1.5,1.5,0.75,0.75,1.4312777892803543
constrained,mutual_information,1,1.5,1.5,1.0,1.0,0.3713147430283975
constrained,mutual_information,1,1.75,1.75,0.0,0.0,3.035915104207932
constrained,mutual_information,1,1.75,1.75,0.25,0.25,2.977445785855254
constrained,mutual_information,1,1.75,1.75,0.5,0.5,2.658316230098783
constrained,mutual_information,1,1.75,1.75,0.75,0.75,1.446477690955278
constrained,mutual_information,1,1.75,1.75,1.0,1.0,0.5160337412485563
constrained,mutual_information,1,2.0,2.0,0.0,0.0,3.0208353316400203
constrained,mutual_information,1,2.0,2.0,0.25,0.25,2.971674358504541
constrained,mutual_information,1,2.0,2.0,0.5,0.5,2.5519843396840383
constrained,mutual_information,1,2.0,2.0,0.75,0.75,1.4628118608396432
constrained,mutual_information,1,2.0,2.0,1.0,1.0,0.6323463039638314
constrained,mutual_information,1,2.25,2.25,0.0,0.0,3.0019133904354156
constrained,mutual_information,1,2.25,2.25,0.25,0.25,2.9851395608334563
