Gene,Expt,x,y
3110035E14Rik,1,6787,12178
3110035E14Rik,1,6797,13016
3110035E14Rik,1,6803,12739
3110035E14Rik,1,6806,12695
3110035E14Rik,1,6807,12772
3110035E14Rik,1,6817,12747
3110035E14Rik,1,6821,12892
3110035E14Rik,1,6832,12810
3110035E14Rik,1,6833,12749
3110035E14Rik,1,6841,12953
3110035E14Rik,1,6863,12593
3110035E14Rik,1,6864,12853
3110035E14Rik,1,6868,12832
3110035E14Rik,1,6888,12829
3110035E14Rik,1,6896,13043
3110035E14Rik,1,6901,12941
3110035E14Rik,1,6910,12863
3110035E14Rik,1,6921,12941
3110035E14Rik,1,6924,13012
3110035E14Rik,1,6945,12713
3110035E14Rik,1,6996,12992
3110035E14Rik,1,6997,12977
3110035E14Rik,1,7000,13019
3110035E14Rik,1,7001,12325
3110035E14Rik,1,7009,12986
3110035E14Rik,1,7062,11428
3110035E14Rik,1,7073,11966
3110035E14Rik,1,7114,12075
3110035E14Rik,1,7153,12783
3110035E14Rik,1,7282,12306
3110035E14Rik,1,7301,12987
3110035E14Rik,1,5635,14741
3110035E14Rik,1,5642,13198
3110035E14Rik,1,5650,13206
3110035E14Rik,1,5651,13352
3110035E14Rik,1,5660,13168
3110035E14Rik,1,5665,13600
3110035E14Rik,1,5665,13804
3110035E14Rik,1,5669,13897
3110035E14Rik,1,5670,13620
3110035E14Rik,1,5674,13390
3110035E14Rik,1,5677,13131
3110035E14Rik,1,5678,13631
3110035E14Rik,1,5686,13971
3110035E14Rik,1,5688,13360
3110035E14Rik,1,5689,13090
3110035E14Rik,1,5693,13349
3110035E14Rik,1,5694,13787
3110035E14Rik,1,5697,13436
3110035E14Rik,1,5697,14868
3110035E14Rik,1,5700,14188
3110035E14Rik,1,5701,13999
3110035E14Rik,1,5702,13963
3110035E14Rik,1,5706,13785
3110035E14Rik,1,5712,13745
3110035E14Rik,1,5715,14154
3110035E14Rik,1,5721,13454
3110035E14Rik,1,5721,14499
3110035E14Rik,1,5734,13770
3110035E14Rik,1,5736,13323
3110035E14Rik,1,5740,13347
3110035E14Rik,1,5740,14757
3110035E14Rik,1,5743,13849
3110035E14Rik,1,5747,13853
3110035E14Rik,1,5748,13440
3110035E14Rik,1,5757,13272
3110035E14Rik,1,5759,13490
3110035E14Rik,1,5765,14027
3110035E14Rik,1,5766,13372
3110035E14Rik,1,5767,13658
3110035E14Rik,1,5768,13721
3110035E14Rik,1,5769,13481
3110035E14Rik,1,5773,14592
3110035E14Rik,1,5778,13533
3110035E14Rik,1,5781,13510
3110035E14Rik,1,5782,14002
3110035E14Rik,1,5783,13804
3110035E14Rik,1,5784,14802
3110035E14Rik,1,5787,13324
3110035E14Rik,1,5789,13516
3110035E14Rik,1,5798,13389
3110035E14Rik,1,5801,14113
3110035E14Rik,1,5803,13097
3110035E14Rik,1,5803,13976
3110035E14Rik,1,5804,13196
3110035E14Rik,1,5809,13442
3110035E14Rik,1,5812,13462
3110035E14Rik,1,5820,14595
3110035E14Rik,1,5822,13439
3110035E14Rik,1,5827,14397
3110035E14Rik,1,5831,13217
3110035E14Rik,1,5834,13490
3110035E14Rik,1,5845,13337
3110035E14Rik,1,5849,14758
3110035E14Rik,1,5852,13661
3110035E14Rik,1,5858,13306
3110035E14Rik,1,5865,14006
3110035E14Rik,1,5866,14406
3110035E14Rik,1,5871,13119
3110035E14Rik,1,5876,14165
3110035E14Rik,1,5885,14809
3110035E14Rik,1,5886,14814
3110035E14Rik,1,5891,13711
3110035E14Rik,1,5898,13853
3110035E14Rik,1,5899,13343
3110035E14Rik,1,5909,13850
3110035E14Rik,1,5909,14302
3110035E14Rik,1,5911,13438
3110035E14Rik,1,5914,13820
3110035E14Rik,1,5915,13874
3110035E14Rik,1,5916,13848
3110035E14Rik,1,5921,13476
3110035E14Rik,1,5925,13379
3110035E14Rik,1,5926,13835
3110035E14Rik,1,5931,13449
3110035E14Rik,1,5931,14680
3110035E14Rik,1,5932,14025
3110035E14Rik,1,5935,13842
3110035E14Rik,1,5938,14096
3110035E14Rik,1,5941,13837
3110035E14Rik,1,5951,13672
3110035E14Rik,1,5954,13833
3110035E14Rik,1,5954,14228
3110035E14Rik,1,5956,13251
3110035E14Rik,1,5956,13457
3110035E14Rik,1,5963,14031
3110035E14Rik,1,5964,14032
3110035E14Rik,1,5964,14375
3110035E14Rik,1,5966,13435
3110035E14Rik,1,5968,14051
3110035E14Rik,1,5972,14524
3110035E14Rik,1,5974,14227
3110035E14Rik,1,5977,14320
3110035E14Rik,1,5979,14140
3110035E14Rik,1,5982,14281
3110035E14Rik,1,6005,13309
3110035E14Rik,1,6010,13847
3110035E14Rik,1,6013,13785
3110035E14Rik,1,6016,13797
3110035E14Rik,1,6016,14787
3110035E14Rik,1,6018,14509
3110035E14Rik,1,6020,13341
3110035E14Rik,1,6021,14848
3110035E14Rik,1,6023,14037
3110035E14Rik,1,6024,13790
3110035E14Rik,1,6025,13789
3110035E14Rik,1,6025,14062
3110035E14Rik,1,6026,13880
3110035E14Rik,1,6027,13840
3110035E14Rik,1,6028,13723
3110035E14Rik,1,6030,14373
3110035E14Rik,1,6035,13908
3110035E14Rik,1,6037,13889
3110035E14Rik,1,6039,13617
3110035E14Rik,1,6040,14387
3110035E14Rik,1,6040,14867
3110035E14Rik,1,6042,13704
3110035E14Rik,1,6050,13892
3110035E14Rik,1,6051,13747
3110035E14Rik,1,6054,13560
3110035E14Rik,1,6054,14336
3110035E14Rik,1,6056,13384
3110035E14Rik,1,6059,14826
3110035E14Rik,1,6063,14484
3110035E14Rik,1,6067,13415
3110035E14Rik,1,6067,13773
3110035E14Rik,1,6067,14139
3110035E14Rik,1,6072,13815
3110035E14Rik,1,6076,13433
