model_class,Astro.1,Astro.2,Astro.3,Astro.4,Astro.5,Cacna2d1.Lhx6.Reln,Cacna2d1.Lhx6.Vwa5a,Cacna2d1.Ndnf.Cxcl14,Cacna2d1.Ndnf.Npy,Cacna2d1.Ndnf.Rgs10,Calb2.Cntnap5a.Igfbp6,Calb2.Cntnap5a.Rspo3,Calb2.Cntnap5a.Vip,Calb2.Cryab,Calb2.Vip.Gpd1,Calb2.Vip.Igfbp4,Cck.Calca,Cck.Cxcl14.Calb1.Igfbp5,Cck.Cxcl14.Calb1.Tnfaip8l3,Cck.Cxcl14.Vip,Cck.Lmo1.Vip.Crh,Cck.Lypd1,Cck.Sema5a,Choroid,Endo,Eryth.2,Microglia.1,Ntng1.Chrm2,Ntng1.Rgs10,Ntng1.Synpr,Oligo.4,Oligo.5,PC.CA1.1,PC.CA1.2,PC.CA1.3,PC.Other1,PC.Other2,Pvalb.C1ql1.Cpne5,Pvalb.C1ql1.Npy,Pvalb.C1ql1.Pvalb,Pvalb.Tac1.Akr1c18,Pvalb.Tac1.Nr4a2,Pvalb.Tac1.Sst,Pvalb.Tac1.Syt2,Sst.Cryab,Sst.Erbb4.Crh,Sst.Erbb4.Rgs10,Sst.Erbb4.Th,Sst.Npy.Cort,Sst.Npy.Mgat4c,Sst.Npy.Serpine2,Sst.Npy.Zbtb20,Sst.Pnoc.Calb1.Igfbp5,Sst.Pnoc.Calb1.Pvalb,Sst.Pnoc.Pvalb,Vsmc,Zero
Astro.1,0.004844082132768,0.004226963025301,0.009769696352625,0.007169865331865001,0.0032246785258580003,0.0,0.0,0.0043988885813,0.0039126788034400005,0.097848267525469,0.027136868925852,0.0,0.001053407836273,0.010427765228176001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37584623566276104,0.002554417664063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00634539146829,0.0013975851188080001,0.0,0.0,0.040868405055963,0.001858123960925,0.19631715783345702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19713594008596702
Astro.1,0.061018371596744,0.058010904103776004,0.027373471002738,0.132280611414821,0.028865433890085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00302334075631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006517701931875001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0188472149891,0.662210184987396
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001004346636226,0.0,0.0,0.019680990139998,0.081094147793347,0.025803973290956003,0.724031122528619,0.016122403791635,0.08887306669933101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035109078418587,0.006638924182894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001383948781119
Astro.1,0.005947422394767,0.004395084128009001,0.0017806519676190002,0.0,0.010738556364083001,0.0,0.0,0.0,0.0,0.0,0.013059607842577,0.001152949546094,0.0025352056715520002,0.0013248359124590002,0.003918387373131001,0.002409415823347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030350033280939003,0.01017174538715,0.006352562221139,0.0,0.0,0.0,0.0,0.0,0.05913954190043601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036869181167624006,0.8091523349878501
Astro.1,0.015200075592386002,0.001763398920947,0.0018093814389980002,0.0027770584811460004,0.006659930811329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003511763552929,0.0,0.06867006681382601,0.0,0.0,0.0,0.0,0.0,0.0020926699608610003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011983144596400002,0.8848244781928051
Astro.1,0.004149733879997001,0.004702703706121,0.0,0.001327837240516,0.002804421081178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010942407597570002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.983727005740007
Astro.1,0.002186189536424,0.00339520640377,0.0,0.002794405571305,0.001239396987377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001070141588427,0.0,0.0,0.0,0.0,0.0,0.004540747587663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029624790571230004,0.9810085840231371
Astro.1,0.0,0.0,0.001966271782808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16285528127773102,0.00157648281368,0.003427601835973,0.034871127267413,0.0,0.001269266783483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7914242887860371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020414988129447,0.076129614756222,0.005683803597387,0.028519189884486002,0.18250499591281702,0.681642991542966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004094558255344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Astro.1,0.033559178082956005,0.007540547700080001,0.021263288701112,0.011723466646830001,0.007553950354822,0.0,0.0,0.0021372483202260002,0.0,0.0,0.093170345724619,0.012197401638879,0.035606080077695,0.149582730635237,0.004059247760043,0.007033116245812001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32962922125638,0.0017939391408090001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28219214400026904
