Gene,Expt,x,y
3110035E14Rik,1,6759,15181
3110035E14Rik,1,6760,15220
3110035E14Rik,1,6762,15974
3110035E14Rik,1,6762,16135
3110035E14Rik,1,6763,15754
3110035E14Rik,1,6763,16448
3110035E14Rik,1,6768,15479
3110035E14Rik,1,6769,15771
3110035E14Rik,1,6771,15836
3110035E14Rik,1,6774,16109
3110035E14Rik,1,6776,14827
3110035E14Rik,1,6777,15342
3110035E14Rik,1,6777,16275
3110035E14Rik,1,6779,15552
3110035E14Rik,1,6781,16271
3110035E14Rik,1,6782,15355
3110035E14Rik,1,6782,15760
3110035E14Rik,1,6784,15916
3110035E14Rik,1,6784,16273
3110035E14Rik,1,6786,16115
3110035E14Rik,1,6787,15619
3110035E14Rik,1,6789,16437
3110035E14Rik,1,6791,15325
3110035E14Rik,1,6792,15308
3110035E14Rik,1,6799,15992
3110035E14Rik,1,6804,15522
3110035E14Rik,1,6805,15474
3110035E14Rik,1,6806,15541
3110035E14Rik,1,6809,15463
3110035E14Rik,1,6810,15685
3110035E14Rik,1,6811,15944
3110035E14Rik,1,6812,15703
3110035E14Rik,1,6812,16167
3110035E14Rik,1,6815,16316
3110035E14Rik,1,6817,15578
3110035E14Rik,1,6818,15331
3110035E14Rik,1,6820,15495
3110035E14Rik,1,6821,15674
3110035E14Rik,1,6821,16622
3110035E14Rik,1,6822,15568
3110035E14Rik,1,6822,15720
3110035E14Rik,1,6822,15942
3110035E14Rik,1,6823,15384
3110035E14Rik,1,6823,15719
3110035E14Rik,1,6823,15819
3110035E14Rik,1,6823,15943
3110035E14Rik,1,6823,16312
3110035E14Rik,1,6825,15959
3110035E14Rik,1,6826,15586
3110035E14Rik,1,6829,15519
3110035E14Rik,1,6829,15999
3110035E14Rik,1,6830,16272
3110035E14Rik,1,6831,15580
3110035E14Rik,1,6833,15657
3110035E14Rik,1,6836,15718
3110035E14Rik,1,6837,15584
3110035E14Rik,1,6838,15596
3110035E14Rik,1,6838,16276
3110035E14Rik,1,6841,15930
3110035E14Rik,1,6841,16207
3110035E14Rik,1,6844,15593
3110035E14Rik,1,6845,15780
